id,name,actor,total_episodes,photo
1,Walter White,Bryan Cranston,62,/e/e7/BB-S5B-Walt-590.jpg
2,Jesse Pinkman,Aaron Paul,62,/0/0c/JesseS5B.jpg
3,Skyler White,Anna Gunn,61,/d/d3/Skylar_S5b.jpg
4,Hank Schrader,Dean Norris,51,/7/7b/Hank_S5b.jpg
5,Marie Schrader,Betsy Brandt,50,/b/b7/Marie_S5b.jpg
6,Walter White Jr.,RJ Mitte,53,/4/41/WaltJr_S5b.jpg
7,Gustavo Fring,Giancarlo Esposito,24,/b/be/Season_4_-_Gus.jpg
8,Saul Goodman,Bob Odenkirk,36,/a/a4/Saul_S5b.jpg
9,Mike Ehrmantraut,Jonathan Banks,25,/8/8b/MikeS5.jpg
